DR_NO,Date Rptd,Date,Time,AREA,Area Name,Rpt Dist No,Part 1-2,Crm Cd,Crime Description,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Status,Status Desc,Crm Cd 1,LOCATION,Latitude,Longitude,Year,Month,Day,Weekday,Hour,Time_of_Day
200320171,10-11-2020,24-10-2020,1700,3,southwest,301,1,210,robbery,56,M,H,102,SIDEWALK,IC,Invest Cont,210,WASHINGTON                   BL,34.0334,-118.3639,2020,10,24,Saturday,17,Evening
200111706,14-05-2020,25-03-2020,1500,1,central,166,1,440,theft plain - petty ($950 & under),56,M,B,517,MISSIONS/SHELTERS,IC,Invest Cont,440,600 S  SAN PEDRO                    ST,34.0421,-118.2469,2020,3,25,Wednesday,15,Afternoon
200320769,23-11-2020,21-11-2020,1200,3,southwest,331,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,3000    VINEYARD                     AV,34.0276,-118.3472,2020,11,21,Saturday,12,Afternoon
201105773,10-02-2020,09-02-2020,1731,11,northeast,1181,2,740,"vandalism - felony ($400 & over, all church vandalisms)",22,F,H,101,STREET,IC,Invest Cont,740,ALLESANDRO,34.081,-118.2627,2020,2,9,Sunday,17,Evening
200105200,18-01-2020,17-01-2020,2300,1,central,185,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,1000 S  BROADWAY,34.0409,-118.2574,2020,1,17,Friday,23,Night
201109762,26-05-2020,25-05-2020,2000,11,northeast,1162,1,310,burglary,51,M,W,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,310,4600    LEXINGTON                    AV,34.0935,-118.2893,2020,5,25,Monday,20,Evening
200216084,12-10-2020,12-10-2020,2230,2,rampart,275,2,626,intimate partner - simple assault,27,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,626,1000 S  UNION                        AV,34.0506,-118.2769,2020,10,12,Monday,22,Night
200107019,12-02-2020,12-02-2020,1615,1,central,119,2,624,battery - simple assault,44,M,H,900,MTA - RED LINE - UNION STATION,AO,Adult Other,624,800 N  ALAMEDA                      ST,34.0563,-118.2374,2020,2,12,Wednesday,16,Afternoon
200108574,06-03-2020,06-03-2020,900,1,central,157,2,624,battery - simple assault,49,F,B,501,SINGLE FAMILY DWELLING,AO,Adult Other,624,500 S  SAN PEDRO                    ST,34.0442,-118.2439,2020,3,6,Friday,9,Morning
201211732,21-04-2020,26-03-2020,1400,12,77th street,1205,1,310,burglary,35,F,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,5100 S  NORMANDIE                    AV,33.9969,-118.3002,2020,3,26,Thursday,14,Afternoon
200712340,02-08-2020,19-06-2020,100,7,wilshire,759,1,440,theft plain - petty ($950 & under),32,M,K,119,"PORCH, RESIDENTIAL",IC,Invest Cont,440,W  PICO                         BL,34.0478,-118.3267,2020,6,19,Friday,1,Night
200911204,18-06-2020,17-06-2020,2000,9,van nuys,984,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,14500    BENEFIT                      ST,34.1491,-118.4491,2020,6,17,Wednesday,20,Evening
200208904,12-04-2020,12-04-2020,1340,2,rampart,218,1,230,"assault with deadly weapon, aggravated assault",46,M,W,102,SIDEWALK,IC,Invest Cont,230,1400    BELLEVUE                     AV,34.0683,-118.256,2020,4,12,Sunday,13,Afternoon
200612793,19-07-2020,12-07-2020,1200,6,hollywood,645,1,330,burglary from vehicle,31,M,A,410,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",IC,Invest Cont,330,7000    LANEWOOD                     AV,34.0992,-118.3417,2020,7,12,Sunday,12,Afternoon
201014757,05-11-2020,04-11-2020,800,10,west valley,1027,1,510,vehicle - stolen,0,Unknown,Unknown,707,GARAGE/CARPORT,IC,Invest Cont,510,6800    LOUISE                       AV,34.1939,-118.5098,2020,11,4,Wednesday,8,Morning
200800777,21-08-2020,21-08-2020,1430,8,west la,883,2,354,theft of identity,25,M,O,102,SIDEWALK,IC,Invest Cont,354,COTNER,34.0393,-118.4397,2020,8,21,Friday,14,Afternoon
201113269,25-07-2020,25-07-2020,2104,11,northeast,1107,2,930,criminal threats - no weapon displayed,60,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,930,6000    BURWOOD                      AV,34.1268,-118.1887,2020,7,25,Saturday,21,Night
201113525,12-09-2020,12-09-2020,1200,11,northeast,1137,1,110,criminal homicide,37,M,W,101,STREET,AO,Adult Other,110,600 N  AVENUE 50,34.1109,-118.2016,2020,9,12,Saturday,12,Afternoon
201214021,02-06-2020,02-06-2020,1220,12,77th street,1203,2,888,trespassing,71,M,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,888,1900 W  48TH                         ST,34.0001,-118.3138,2020,6,2,Tuesday,12,Afternoon
200218310,07-12-2020,05-12-2020,1745,2,rampart,249,1,510,vehicle - stolen,0,Unknown,Unknown,108,PARKING LOT,AO,Adult Other,510,1000    WILSHIRE                     BL,34.0519,-118.2624,2020,12,5,Saturday,17,Evening
200320466,16-11-2020,16-11-2020,914,3,southwest,374,2,624,battery - simple assault,19,F,B,101,STREET,IC,Invest Cont,624,2ND                          AV,34.0146,-118.3193,2020,11,16,Monday,9,Morning
200218003,30-11-2020,30-11-2020,55,2,rampart,265,2,626,intimate partner - simple assault,38,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,626,700 S  WESTLAKE                     AV,34.0557,-118.2758,2020,11,30,Monday,0,Night
200112251,25-05-2020,25-05-2020,1525,1,central,152,1,230,"assault with deadly weapon, aggravated assault",71,M,O,102,SIDEWALK,IC,Invest Cont,230,500 S  OLIVE                        ST,34.0495,-118.2529,2020,5,25,Monday,15,Afternoon
200111429,06-05-2020,04-05-2020,1300,1,central,135,2,624,battery - simple assault,44,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,624,100 E  3RD                          ST,34.0496,-118.2458,2020,5,4,Monday,13,Afternoon
201308023,12-03-2020,08-03-2020,2000,13,newton,1333,1,420,theft from motor vehicle - petty ($950 & under),0,Unknown,Unknown,101,STREET,IC,Invest Cont,420,32ND                         ST,34.0163,-118.2624,2020,3,8,Sunday,20,Evening
200406704,09-03-2020,20-02-2020,930,4,hollenbeck,427,1,440,theft plain - petty ($950 & under),29,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,440,4600    HUNTINGTON DR,34.0853,-118.186,2020,2,20,Thursday,9,Morning
201000821,18-08-2020,18-08-2020,2250,10,west valley,1033,2,753,discharge firearms/shots fired,0,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,753,6100    TAMPA                        AV,34.1813,-118.5534,2020,8,18,Tuesday,22,Night
201010690,05-07-2020,02-07-2020,1256,10,west valley,1021,1,440,theft plain - petty ($950 & under),27,M,P,501,SINGLE FAMILY DWELLING,IC,Invest Cont,440,6500    TAMPA                        AV,34.1954,-118.5577,2020,7,2,Thursday,12,Afternoon
